timestamp,target,port,service,status
7/31/26 22:10,203.0.113.10,21,FTP,TIMEOUT
7/31/26 22:10,203.0.113.10,22,SSH,OPEN
7/31/26 22:10,203.0.113.10,23,TELNET,TIMEOUT
7/31/26 22:10,203.0.113.10,25,SMTP,TIMEOUT
7/31/26 22:10,203.0.113.10,53,DNS,OPEN
7/31/26 22:10,203.0.113.10,80,HTTP,OPEN
7/31/26 22:10,203.0.113.10,110,POP3,TIMEOUT
7/31/26 22:10,203.0.113.10,135,MS-RPC,TIMEOUT
7/31/26 22:10,203.0.113.10,139,NETBIOS-SSN,TIMEOUT
7/31/26 22:10,203.0.113.10,143,IMAP,TIMEOUT
7/31/26 22:10,203.0.113.10,389,LDAP,TIMEOUT
7/31/26 22:10,203.0.113.10,443,HTTPS,OPEN
7/31/26 22:10,203.0.113.10,445,SMB,TIMEOUT
7/31/26 22:10,203.0.113.10,465,SMTPS,TIMEOUT
7/31/26 22:10,203.0.113.10,587,SMTP-SUBMISSION,TIMEOUT
7/31/26 22:10,203.0.113.10,636,LDAPS,TIMEOUT
7/31/26 22:10,203.0.113.10,993,IMAPS,TIMEOUT
7/31/26 22:10,203.0.113.10,995,POP3S,TIMEOUT
7/31/26 22:10,203.0.113.10,1433,MSSQL,TIMEOUT
7/31/26 22:10,203.0.113.10,2049,NFS,TIMEOUT
7/31/26 22:10,203.0.113.10,3306,MYSQL,TIMEOUT
7/31/26 22:10,203.0.113.10,3389,RDP,TIMEOUT
7/31/26 22:10,203.0.113.10,5432,POSTGRESQL,TIMEOUT
7/31/26 22:10,203.0.113.10,5900,VNC,TIMEOUT
7/31/26 22:10,203.0.113.10,5985,WINRM-HTTP,TIMEOUT
7/31/26 22:10,203.0.113.10,5986,WINRM-HTTPS,TIMEOUT
7/31/26 22:10,203.0.113.10,8006,PROXMOX,TIMEOUT
7/31/26 22:10,203.0.113.10,8080,HTTP-ALT,TIMEOUT
7/31/26 22:10,203.0.113.10,8443,HTTPS-ALT,TIMEOUT
